Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Priority,Status,Acquisition_Notes,Link,Search_Query
389,Fintech Digital Banking,Payments,BIS,,Annual Economic Report 2021 Chapter III: CBDCs — An Opportunity for the Monetary System,2021,BIS,REPORT,MEDIUM,DOWNLOADED,Free from BIS; Downloaded 2026-02-26,https://www.bis.org/publ/arpdf/ar2021e3.htm,BIS Annual Economic Report 2021 Chapter III: CBDCs — An Opportunity for the
390,GSE Housing Finance,Core,Acharya,Viral,Guaranteed to Fail: Fannie Mae Freddie Mac and the Debacle of Mortgage Finance,2011,Princeton UP,BOOK,HIGH,NEEDED,Co-authored with Richardson Van Nieuwerburgh & White; Princeton UP,https://press.princeton.edu/,Acharya Guaranteed to Fail: Fannie Mae Freddie Mac and the Debacle of Mortgage Finance
391,GSE Housing Finance,Core,Mian,Atif,House of Debt: How They (and You) Caused the Great Recession and How We Can Prevent It from Happening Again,2014,University of Chicago Press,BOOK,HIGH,NEEDED,Co-authored with Sufi; UChicago Press,https://press.uchicago.edu/,Mian House of Debt: How They Caused the Great Recession and How We Can Prevent It
392,GSE Housing Finance,Historical,Quinn,Sarah,American Bonds: How Credit Markets Shaped a Nation,2019,Princeton UP,BOOK,HIGH,NEEDED,Princeton UP,https://press.princeton.edu/,Quinn American Bonds: How Credit Markets Shaped a Nation
393,GSE Housing Finance,Mortgage,Levitin,Adam J.,The Great American Housing Bubble: What Went Wrong and How We Can Protect Ourselves in the Future,2020,Harvard UP,BOOK,HIGH,NEEDED,Co-authored with Wachter; Harvard UP,https://www.hup.harvard.edu/,Levitin The Great American Housing Bubble: What Went Wrong and How We Can Protect
394,GSE Housing Finance,Origination,Mian,Atif,The Consequences of Mortgage Credit Expansion (QJE),2009,Quarterly Journal of Economics,ARTICLE,HIGH,NEEDED,Co-authored with Sufi; Oxford Academic,https://academic.oup.com/qje,Mian The Consequences of Mortgage Credit Expansion
395,GSE Housing Finance,FHFA,FHFA,,Report to Congress on the Condition and Regulation of the Federal Home Loan Bank System,2024,FHFA,REPORT,MEDIUM,DOWNLOADED,Free from FHFA; Downloaded 2026-02-26,https://www.fhfa.gov/,FHFA Report to Congress on the Condition and Regulation of the Federal Home Loan
396,GSE Housing Finance,CRA,Avery,Regulatory Document Library,The CRA Within a Changing Financial Landscape (FEDS),2010,FEDS Working Papers,WORKING_PAPER,MEDIUM,NEEDED,Free from Fed,https://www.federalreserve.gov/,Avery The CRA Within a Changing Financial Landscape
397,Complexity Science Finance,Core,May,Regulatory Document Library,Complex Systems: Ecology for Bankers (Nature),2008,Nature,ARTICLE,HIGH,NEEDED,Co-authored with Levin & Sugihara; Nature.com,https://www.nature.com/,May Complex Systems: Ecology for Bankers
398,Complexity Science Finance,Core,Battiston,Stefano,Complexity Theory and Financial Regulation: Economic Policy Needs Interdisciplinary Network Analysis and Behavioral Modeling (Science),2016,Science,ARTICLE,HIGH,NEEDED,Science.aaas.org,https://www.science.org/,Battiston Complexity Theory and Financial Regulation: Economic Policy Needs
399,Complexity Science Finance,ABM,Farmer,J. Doyne,A Complex Systems Approach to Constructing Better Models for Managing Financial Markets and the Economy (ECJR),2012,European Physical Journal,ARTICLE,HIGH,NEEDED,Check Springer or author website,https://link.springer.com/,Farmer A Complex Systems Approach to Constructing Better Models for Managing Financial
400,Complexity Science Finance,Networks,Schweitzer,Frank,Economic Networks: The New Challenges (Science),2009,Science,ARTICLE,HIGH,NEEDED,Science.aaas.org,https://www.science.org/,Schweitzer Economic Networks: The New Challenges
401,Complexity Science Finance,Foundational,Arthur,W. Brian,Complexity and the Economy,2015,Oxford UP,BOOK,MEDIUM,NEEDED,Oxford UP or Amazon,https://scholar.google.com/scholar?q=Arthur+Complexity+and+the+Economy,Arthur Complexity and the Economy
402,Complexity Science Finance,Agent-Based,Tesfatsion,Leigh,Agent-Based Computational Economics: A Constructive Approach to Economic Theory,2006,,CHAPTER,MEDIUM,NEEDED,Chapter in Handbook of Computational Economics Vol 2,https://scholar.google.com/scholar?q=Tesfatsion+Agent-Based+Computational+Economics%3A+A+Constructive+Approach+to+Economic+Theory,Tesfatsion Agent-Based Computational Economics: A Constructive Approach to Economic Theory
403,Complexity Science Finance,Adaptive,Lo,Andrew,Adaptive Markets: Financial Evolution at the Speed of Thought,2017,Princeton UP,BOOK,MEDIUM,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,Lo Adaptive Markets: Financial Evolution at the Speed of Thought
404,Community Banking Dual System,Core,FDIC,,FDIC Community Banking Study,2012,FDIC,REPORT,HIGH,DOWNLOADED,Free from FDIC; Downloaded 2026-02-26,https://www.fdic.gov/regulations/resources/cbi/report/cbi-full.pdf,FDIC FDIC Community Banking Study
405,Community Banking Dual System,Core,DeYoung,Regulatory Document Library,"Past, Present, and Probable Future for Community Banks (JFI)",2004,Journal of Financial Intermediation,ARTICLE,HIGH,NEEDED,Co-authored with Hunter & Udell; ScienceDirect,https://www.sciencedirect.com/,"DeYoung Past, Present, and Probable Future for Community Banks"
406,Community Banking Dual System,Dual System,Blair,Christine,The Dual Banking System: A Primer (FDIC Banking Review),2004,FDIC Banking Review,ARTICLE,MEDIUM,DOWNLOADED,Free from FDIC; Downloaded 2026-02-26,https://www.fdic.gov/,Blair The Dual Banking System: A Primer
407,Community Banking Dual System,Performance,Yeager,Timothy,Community Banks Performance in Good Times and Bad Times (FDIC),2004,FDIC Banking Review,ARTICLE,MEDIUM,DOWNLOADED,Free from FDIC; Downloaded 2026-02-26,https://www.fdic.gov/,Yeager Community Banks Performance in Good Times and Bad Times
408,Community Banking Dual System,Regulation,Hoenig,Thomas,The Community Banking Model and Stress Testing (speeches),2013,FDIC,REGULATORY,MEDIUM,DOWNLOADED,Free from FDIC speeches archive; Downloaded 2026-02-26,https://www.fdic.gov/,Hoenig The Community Banking Model and Stress Testing
409,Community Banking Dual System,Consolidation,Berger,Allen,Small Business Credit Availability and Relationship Lending: The Importance of Bank Organizational Structure (EJ),2002,Economic Journal,ARTICLE,MEDIUM,NEEDED,Co-authored with Udell; Wiley,https://onlinelibrary.wiley.com/,Berger Small Business Credit Availability and Relationship Lending: The Importance of
410,Deposit Insurance History,Core,Calomiris,Charles,The Origins of Federal Deposit Insurance (in The Regulated Economy),1994,,CHAPTER,HIGH,NEEDED,Co-authored with White; chapter in Goldin & Libecap volume; NBER or library,https://scholar.google.com/scholar?q=Calomiris+The+Origins+of+Federal+Deposit+Insurance,Calomiris The Origins of Federal Deposit Insurance
411,Deposit Insurance History,Foundational,Golembe,Carter,The Deposit Insurance Legislation of 1933: An Examination of Its Antecedents and Purposes (PSQ),1960,Political Science Quarterly,ARTICLE,HIGH,NEEDED,JSTOR,https://www.jstor.org/,Golembe The Deposit Insurance Legislation of 1933: An Examination of Its Antecedents
412,Deposit Insurance History,Moral Hazard,Keeley,Michael,Deposit Insurance Risk and Market Power in Banking (AER),1990,American Economic Review,ARTICLE,HIGH,NEEDED,JSTOR or AEA,https://www.aeaweb.org/,Keeley Deposit Insurance Risk and Market Power in Banking
413,Deposit Insurance History,Design,Demirguc-Kunt,Asli,Does Deposit Insurance Increase Banking System Stability? An Empirical Investigation (JME),2002,Journal of Monetary Economics,ARTICLE,HIGH,NEEDED,Co-authored with Detragiache; ScienceDirect,https://www.sciencedirect.com/,Demirguc-Kunt Does Deposit Insurance Increase Banking System Stability? An Empirical
414,Deposit Insurance History,Reform,Pennacchi,George,Deposit Insurance (AEA Handbook of Insurance),2009,,CHAPTER,MEDIUM,NEEDED,Chapter in AEA handbook; check SSRN for working paper version,https://papers.ssrn.com/,Pennacchi Deposit Insurance
415,Deposit Insurance History,International,Demirguc-Kunt,Asli,Deposit Insurance Around the World: Issues of Design and Implementation,2008,MIT Press,BOOK,MEDIUM,NEEDED,Co-authored with Kane & Laeven; MIT Press,https://mitpress.mit.edu/,Demirguc-Kunt Deposit Insurance Around the World: Issues of Design and Implementation
416,Deposit Insurance History,FDIC Fund,Davison,Lee,Politics and Policy: The Creation of the FDIC Deposit Insurance Fund (FDIC Banking Review),2005,FDIC Banking Review,ARTICLE,MEDIUM,DOWNLOADED,Free from FDIC; Downloaded 2026-02-26,https://www.fdic.gov/,Davison Politics and Policy: The Creation of the FDIC Deposit Insurance Fund
417,Marxian Financial Theory,Core,Harvey,David,The Limits to Capital (new edition),2006,Verso,BOOK,HIGH,NEEDED,Verso or Amazon; updated 2006 edition preferred,https://scholar.google.com/scholar?q=Harvey+The+Limits+to+Capital,Harvey The Limits to Capital
418,Marxian Financial Theory,Financialization,Epstein,Gerald,Financialization and the World Economy,2005,Edward Elgar,BOOK,HIGH,NEEDED,Edited volume; Edward Elgar or Amazon,https://scholar.google.com/scholar?q=Epstein+Financialization+and+the+World+Economy,Epstein Financialization and the World Economy
419,Marxian Financial Theory,Political Economy,Krippner,Greta,Capitalizing on Crisis: The Political Origins of the Rise of Finance,2011,Harvard UP,BOOK,HIGH,NEEDED,Harvard UP or Amazon,https://www.hup.harvard.edu/,Krippner Capitalizing on Crisis: The Political Origins of the Rise of Finance
420,Marxian Financial Theory,Crisis Theory,Crotty,James,Structural Causes of the Global Financial Crisis: A Critical Assessment of the New Financial Architecture (CJE),2009,Cambridge Journal of Economics,ARTICLE,HIGH,NEEDED,Oxford Academic,https://academic.oup.com/cje,Crotty Structural Causes of the Global Financial Crisis: A Critical Assessment of the
421,Marxian Financial Theory,Banking,Lapavitsas,Costas,The Social Relations of Money as Universal Equivalent: A Response to Ingham (Economy and Society),2005,Economy and Society,ARTICLE,MEDIUM,NEEDED,Taylor & Francis,https://www.tandfonline.com/,Lapavitsas The Social Relations of Money as Universal Equivalent: A Response to Ingham
422,Marxian Financial Theory,Finance Capital,Norfield,Tony,The City: London and the Global Power of Finance,2016,Verso,BOOK,MEDIUM,NEEDED,Verso or Amazon,https://scholar.google.com/scholar?q=Norfield+The+City%3A+London+and+the+Global+Power+of+Finance,Norfield The City: London and the Global Power of Finance
423,Marxian Financial Theory,Accumulation,Fine,Ben,Marx's Capital (6th ed),2016,Pluto Press,BOOK,MEDIUM,NEEDED,Co-authored with Saad-Filho; Pluto Press or Amazon,https://scholar.google.com/scholar?q=Fine+Marx%27s+Capital,Fine Marx's Capital
424,Marxian Financial Theory,Financialization,Orhangazi,Ozgur,Financialisation and Capital Accumulation in the Non-financial Corporate Sector (CJE),2008,Cambridge Journal of Economics,ARTICLE,MEDIUM,NEEDED,Oxford Academic,https://academic.oup.com/cje,Orhangazi Financialisation and Capital Accumulation in the Non-financial Corporate Sector
425,Marxian Financial Theory,Crisis,Kliman,Andrew,The Failure of Capitalist Production: Underlying Causes of the Great Recession,2012,Pluto Press,BOOK,MEDIUM,NEEDED,Pluto Press or Amazon,https://scholar.google.com/scholar?q=Kliman+The+Failure+of+Capitalist+Production%3A+Underlying+Causes+of+the+Great+Recession,Kliman The Failure of Capitalist Production: Underlying Causes of the Great Recession
426,Marxian Financial Theory,Debate,Roberts,Michael,The Long Depression: How It Happened Why It Happened and What Happens Next,2016,Haymarket,BOOK,LOW,NEEDED,Haymarket Books or Amazon,https://scholar.google.com/scholar?q=Roberts+The+Long+Depression%3A+How+It+Happened+Why+It+Happened+and+What+Happens+Next,Roberts The Long Depression: How It Happened Why It Happened and What Happens Next
427,Foundational Finance Theory,Debt-Deflation,Fisher,Irving,The Debt-Deflation Theory of Great Depressions (Econometrica),1933,Econometrica,ARTICLE,CRITICAL,NEEDED,JSTOR,https://www.jstor.org/,Fisher The Debt-Deflation Theory of Great Depressions
428,Foundational Finance Theory,Uncertainty,Keynes,John Maynard,The General Theory of Employment Interest and Money (Ch. 12 and 17),1936,Macmillan,BOOK,CRITICAL,DOWNLOADED,Multiple editions; free from marxists.org or Liberty Fund; Downloaded 2026-02-26,https://www.marxists.org/reference/subject/economics/keynes/general-theory/,Keynes The General Theory of Employment Interest and Money
429,Foundational Finance Theory,Credit Rationing,Stiglitz,Joseph,Credit Rationing in Markets with Imperfect Information (AER),1981,American Economic Review,ARTICLE,HIGH,NEEDED,Co-authored with Weiss; JSTOR or AEA,https://www.aeaweb.org/,Stiglitz Credit Rationing in Markets with Imperfect Information
430,Foundational Finance Theory,Prudential,Dewatripont,Mathias,The Prudential Regulation of Banks,1994,MIT Press,BOOK,HIGH,NEEDED,Co-authored with Tirole; MIT Press or Amazon,https://mitpress.mit.edu/,Dewatripont The Prudential Regulation of Banks
431,Foundational Finance Theory,Macroprudential,Hanson,Samuel,A Macroprudential Approach to Financial Regulation (JEP),2011,Journal of Economic Perspectives,ARTICLE,HIGH,NEEDED,Co-authored with Kashyap & Stein; free from AEA,https://www.aeaweb.org/,Hanson A Macroprudential Approach to Financial Regulation
432,Foundational Finance Theory,Efficient Markets,Fama,Eugene,Efficient Capital Markets: A Review of Theory and Empirical Work (JoF),1970,Journal of Finance,ARTICLE,HIGH,NEEDED,JSTOR,https://www.jstor.org/,Fama Efficient Capital Markets: A Review of Theory and Empirical Work
433,Foundational Finance Theory,Asset Pricing,Sharpe,William,Capital Asset Prices: A Theory of Market Equilibrium Under Conditions of Risk (JoF),1964,Journal of Finance,ARTICLE,MEDIUM,NEEDED,JSTOR,https://www.jstor.org/,Sharpe Capital Asset Prices: A Theory of Market Equilibrium Under Conditions of Risk
434,Foundational Finance Theory,Options,Black,Fischer,The Pricing of Options and Corporate Liabilities (JPE),1973,Journal of Political Economy,ARTICLE,MEDIUM,NEEDED,Co-authored with Scholes; JSTOR,https://www.jstor.org/,Black The Pricing of Options and Corporate Liabilities
435,Foundational Finance Theory,Corporate,Modigliani,Franco,The Cost of Capital Corporation Finance and the Theory of Investment (AER),1958,American Economic Review,ARTICLE,MEDIUM,NEEDED,Co-authored with Miller; JSTOR or AEA,https://www.aeaweb.org/,Modigliani The Cost of Capital Corporation Finance and the Theory of Investment
436,Foundational Finance Theory,Moral Hazard,Jensen,Michael,Theory of the Firm: Managerial Behavior Agency Costs and Ownership Structure (JFE),1976,Journal of Financial Economics,ARTICLE,MEDIUM,NEEDED,Co-authored with Meckling; ScienceDirect,https://www.sciencedirect.com/,Jensen Theory of the Firm: Managerial Behavior Agency Costs and Ownership Structure
437,Risk Measurement EVT,Core,McNeil,Alexander,Quantitative Risk Management: Concepts Techniques and Tools (2nd ed),2015,Princeton UP,BOOK,HIGH,NEEDED,Co-authored with Frey & Embrechts; Princeton UP,https://press.princeton.edu/,McNeil Quantitative Risk Management: Concepts Techniques and Tools
438,Risk Measurement EVT,Core,Artzner,Philippe,Coherent Measures of Risk (MathFin),1999,Mathematical Finance,ARTICLE,HIGH,NEEDED,Wiley Online,https://onlinelibrary.wiley.com/,Artzner Coherent Measures of Risk
439,Risk Measurement EVT,Critique,Danielsson,Jon,The Illusion of Control: Why Financial Crises Happen and What We Can (and Can't) Do About It,2022,Yale UP,BOOK,HIGH,NEEDED,Yale UP or Amazon,https://scholar.google.com/scholar?q=Danielsson+The+Illusion+of+Control%3A+Why+Financial+Crises+Happen+and+What+We+Can+Do+About+It,Danielsson The Illusion of Control: Why Financial Crises Happen and What We Can Do About It
440,Risk Measurement EVT,VaR,Jorion,Philippe,Value at Risk: The New Benchmark for Managing Financial Risk (3rd ed),2007,McGraw-Hill,BOOK,MEDIUM,NEEDED,McGraw-Hill or Amazon,https://scholar.google.com/scholar?q=Jorion+Value+at+Risk%3A+The+New+Benchmark+for+Managing+Financial+Risk,Jorion Value at Risk: The New Benchmark for Managing Financial Risk
441,Risk Measurement EVT,Tail Risk,Taleb,Nassim Nicholas,The Black Swan: The Impact of the Highly Improbable (2nd ed),2010,Random House,BOOK,MEDIUM,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Taleb+The+Black+Swan%3A+The+Impact+of+the+Highly+Improbable,Taleb The Black Swan: The Impact of the Highly Improbable
442,Risk Measurement EVT,Model Risk,Danielsson,Jon,Model Risk of Risk Models (JFE),2016,Journal of Financial Economics,ARTICLE,MEDIUM,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Danielsson Model Risk of Risk Models
443,Risk Measurement EVT,Expected Shortfall,Acerbi,Carlo,Expected Shortfall: A Natural Coherent Alternative to Value at Risk (Economic Notes),2002,Economic Notes,ARTICLE,MEDIUM,NEEDED,Co-authored with Tasche; Wiley,https://onlinelibrary.wiley.com/,Acerbi Expected Shortfall: A Natural Coherent Alternative to Value at Risk
444,Recent 2024-2025 Publications,Systems,Davies,Dan,The Unaccountability Machine: Why Big Systems Make Terrible Decisions,2024,Profile Books,BOOK,HIGH,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Davies+The+Unaccountability+Machine%3A+Why+Big+Systems+Make+Terrible+Decisions,Davies The Unaccountability Machine: Why Big Systems Make Terrible Decisions
445,Recent 2024-2025 Publications,Money,Downey,Stefan,Our Money: Financial Infrastructure for the Real Economy,2025,,BOOK,HIGH,NEEDED,Reviewed in NYRB Feb 2026; check publisher,https://scholar.google.com/scholar?q=Downey+Our+Money%3A+Financial+Infrastructure+for+the+Real+Economy,Downey Our Money: Financial Infrastructure for the Real Economy
446,Recent 2024-2025 Publications,Banking Competition,Berger,Allen,Financial Intermediation Services and Competition Analysis: A Review and Some Suggestions (JFI),2024,Journal of Financial Intermediation,ARTICLE,HIGH,NEEDED,Co-authored with Boot; ScienceDirect,https://www.sciencedirect.com/,Berger Financial Intermediation Services and Competition Analysis: A Review and Some
447,Recent 2024-2025 Publications,BIS,BIS,,Annual Economic Report 2025,2025,BIS,REPORT,HIGH,DOWNLOADED,Free from BIS; Downloaded 2026-02-26,https://www.bis.org/publ/arpdf/ar2025e.htm,BIS Annual Economic Report 2025
448,Recent 2024-2025 Publications,IMF,IMF,,Global Financial Stability Report October 2025,2025,IMF,REPORT,HIGH,NEEDED,Free from IMF,https://www.imf.org/en/Publications/GFSR,IMF Global Financial Stability Report October 2025
449,Recent 2024-2025 Publications,Fed,Fed Board,,Financial Stability Report November 2025,2025,Federal Reserve,REPORT,HIGH,DOWNLOADED,Free from Fed; Downloaded 2026-02-26,https://www.federalreserve.gov/publications/financial-stability-report.htm,Fed Board Financial Stability Report November 2025
450,Recent 2024-2025 Publications,Stress Testing,Coen,Patrick,The Rise of the Walking Dead: Zombie Firms Around the World (JFE),2024,Journal of Financial Economics,ARTICLE,MEDIUM,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Coen The Rise of the Walking Dead: Zombie Firms Around the World
451,Recent 2024-2025 Publications,Banking,Drechsler,Itamar,How Monetary Policy Shapes the Term Structure of Bank Risk (JoF forthcoming),2025,Journal of Finance,ARTICLE,MEDIUM,NEEDED,Check SSRN or journal,https://papers.ssrn.com/,Drechsler How Monetary Policy Shapes the Term Structure of Bank Risk
452,Recent 2024-2025 Publications,Regulation,Barr,Michael S.,Holistic Capital Review and Other Regulatory Developments (Fed speeches),2025,Federal Reserve,REGULATORY,HIGH,NEEDED,Free from Fed speeches,https://www.federalreserve.gov/newsevents/speeches.htm,Barr Holistic Capital Review and Other Regulatory Developments
